age,workclass,fnlwgt,educational-num,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,log_capital_gain,log_capital_loss,Private_Workclass,education_label,marital_label,white_collar_label,gender_male,native_country_label,high_income
81,Private,36147,15,0,1,Male,10605,0,2,United-States,>50K,9.269175157697076,0.0,True,0,1,0,True,1,False
46,Self-emp-not-inc,525848,7,0,1,Male,0,0,48,United-States,<=50K,0.0,0.0,False,0,1,0,True,1,True
39,State-gov,77516,13,1,1,Male,2174,0,40,United-States,<=50K,7.684783943522785,0.0,False,1,0,1,True,1,True
39,Private,179137,9,1,1,Female,0,0,40,United-States,<=50K,0.0,0.0,True,0,0,1,False,1,True
46,Private,215943,9,4,1,Female,0,0,40,United-States,<=50K,0.0,0.0,True,0,0,1,False,1,True
49,Self-emp-inc,120121,13,0,1,Male,0,0,50,United-States,>50K,0.0,0.0,False,1,1,1,True,1,False
57,Private,163047,9,5,1,Female,0,0,38,United-States,<=50K,0.0,0.0,True,0,1,1,False,1,True
46,Private,186172,13,0,1,Male,3103,0,40,United-States,>50K,8.04044688130311,0.0,True,1,1,1,True,1,False
37,State-gov,348960,13,0,1,Male,0,0,36,United-States,>50K,0.0,0.0,False,1,1,1,True,1,False
50,Private,485710,16,1,1,Female,0,0,50,United-States,<=50K,0.0,0.0,True,1,0,1,False,1,True
28,Private,90196,13,0,1,Male,0,0,45,United-States,>50K,0.0,0.0,True,1,1,1,True,1,False
33,Private,69251,11,3,0,Male,0,0,40,Philippines,<=50K,0.0,0.0,True,0,0,1,True,0,True
20,Private,195770,10,3,1,Male,0,0,26,United-States,<=50K,0.0,0.0,True,0,0,1,True,1,True
17,Private,566049,6,3,1,Male,0,0,8,United-States,<=50K,0.0,0.0,True,0,0,0,True,1,True
32,Private,164507,9,1,1,Male,0,0,40,Columbia,<=50K,0.0,0.0,True,0,0,0,True,0,True
65,Private,266828,13,0,1,Male,0,0,24,United-States,>50K,0.0,0.0,True,1,1,1,True,1,False
20,Private,224238,8,3,1,Male,0,0,40,United-States,<=50K,0.0,0.0,True,0,0,0,True,1,True
42,?,338281,11,5,1,Female,0,0,20,Iran,<=50K,0.0,0.0,False,0,1,0,False,0,True
39,Private,269722,13,0,1,Male,0,0,70,United-States,<=50K,0.0,0.0,True,1,1,1,True,1,True
61,State-gov,186451,15,0,1,Male,0,1902,40,United-States,>50K,0.0,7.551186867296149,False,0,1,1,True,1,False
35,Private,306868,10,1,1,Male,0,0,65,United-States,<=50K,0.0,0.0,True,0,0,1,True,1,True
56,Local-gov,52953,16,1,1,Female,0,1669,38,United-States,<=50K,0.0,7.4205789054108005,False,1,0,1,False,1,True
25,Private,148460,9,3,1,Female,4416,0,40,Puerto-Rico,<=50K,8.393216011596527,0.0,True,0,0,1,False,0,True
37,Private,70240,9,3,0,Female,0,0,40,Philippines,<=50K,0.0,0.0,True,0,0,0,False,0,True
30,Private,35644,7,0,1,Male,0,0,50,United-States,<=50K,0.0,0.0,True,0,1,0,True,1,True
65,Private,138247,10,1,1,Female,0,0,22,United-States,<=50K,0.0,0.0,True,0,0,1,False,1,True
49,Local-gov,329144,10,0,1,Male,0,0,44,United-States,>50K,0.0,0.0,False,0,1,0,True,1,False
54,Local-gov,172991,9,0,1,Male,0,0,40,United-States,<=50K,0.0,0.0,False,0,1,0,True,1,True
27,Private,267325,9,5,1,Female,3464,0,40,United-States,<=50K,8.150467911624004,0.0,True,0,1,1,False,1,True
19,Private,223392,9,3,1,Male,0,0,15,United-States,<=50K,0.0,0.0,True,0,0,0,True,1,True
61,Private,154536,6,4,1,Female,0,2001,40,United-States,<=50K,0.0,7.601901959875166,True,0,0,0,False,1,True
65,Self-emp-inc,115922,13,0,1,Male,0,0,40,United-States,>50K,0.0,0.0,False,1,1,1,True,1,False
34,Private,113364,10,0,1,Male,0,0,40,Germany,<=50K,0.0,0.0,True,0,1,0,True,0,True
49,Self-emp-not-inc,122584,4,0,1,Male,0,0,40,United-States,<=50K,0.0,0.0,False,0,1,1,True,1,True
42,State-gov,99185,9,1,1,Female,0,0,38,United-States,<=50K,0.0,0.0,False,0,0,1,False,1,True
69,Private,312653,10,0,1,Male,0,0,25,United-States,<=50K,0.0,0.0,True,0,1,1,True,1,True
23,Local-gov,190709,12,1,1,Male,0,0,52,United-States,<=50K,0.0,0.0,False,0,0,0,True,1,True
40,Private,321758,9,0,1,Male,0,0,40,United-States,>50K,0.0,0.0,True,0,1,1,True,1,False
46,Private,125492,13,1,1,Female,0,0,40,United-States,<=50K,0.0,0.0,True,1,0,1,False,1,True
22,Private,336215,12,1,1,Female,0,0,25,United-States,<=50K,0.0,0.0,True,0,0,1,False,1,True
44,State-gov,150755,13,0,1,Male,5013,0,40,United-States,<=50K,8.519989278718239,0.0,False,1,1,1,True,1,True
25,Private,431861,9,0,1,Male,0,0,40,United-States,<=50K,0.0,0.0,True,0,1,0,True,1,True
27,Private,164607,13,3,1,Male,0,0,50,United-States,<=50K,0.0,0.0,True,1,0,1,True,1,True
38,?,75024,4,1,1,Female,0,0,40,United-States,<=50K,0.0,0.0,False,0,0,0,False,1,True
28,Private,216013,9,1,1,Male,0,0,40,United-States,<=50K,0.0,0.0,True,0,0,0,True,1,True
60,Self-emp-not-inc,88055,10,0,1,Male,0,0,24,United-States,<=50K,0.0,0.0,False,0,1,0,True,1,True
39,Private,185520,10,1,1,Female,0,0,40,United-States,<=50K,0.0,0.0,True,0,0,0,False,1,True
32,Private,34104,9,0,1,Male,3103,0,55,United-States,>50K,8.04044688130311,0.0,True,0,1,1,True,1,False
23,Private,210474,10,3,1,Female,0,0,30,United-States,<=50K,0.0,0.0,True,0,0,0,False,1,True
51,Private,91506,9,0,1,Male,7688,0,40,United-States,>50K,8.94754601503218,0.0,True,0,1,0,True,1,False
39,Private,188069,14,0,1,Male,15024,0,50,United-States,>50K,9.617470759403409,0.0,True,1,1,1,True,1,False
23,Private,233711,9,0,1,Male,0,0,50,United-States,<=50K,0.0,0.0,True,0,1,0,True,1,True
42,Private,205195,9,0,1,Male,0,0,40,United-States,>50K,0.0,0.0,True,0,1,0,True,1,False
44,Private,198452,9,0,1,Male,0,0,40,United-States,<=50K,0.0,0.0,True,0,1,0,True,1,True
50,Federal-gov,111700,14,1,1,Female,0,0,50,United-States,<=50K,0.0,0.0,False,1,0,1,False,1,True
31,Private,243442,9,0,1,Male,0,0,50,United-States,<=50K,0.0,0.0,True,0,1,1,True,1,True
17,Private,158762,6,3,1,Female,0,0,16,United-States,<=50K,0.0,0.0,True,0,0,1,False,1,True
59,Private,113838,9,1,1,Female,0,0,40,United-States,<=50K,0.0,0.0,True,0,0,0,False,1,True
56,Self-emp-not-inc,233312,13,0,1,Male,0,0,20,Poland,<=50K,0.0,0.0,False,1,1,1,True,0,True
30,Private,261023,10,4,1,Male,0,0,50,United-States,<=50K,0.0,0.0,True,0,0,0,True,1,True
54,Self-emp-not-inc,386773,10,0,1,Male,0,0,60,United-States,<=50K,0.0,0.0,False,0,1,1,True,1,True
21,Private,174714,12,3,1,Male,0,0,35,United-States,<=50K,0.0,0.0,True,0,0,1,True,1,True
69,?,473040,3,1,1,Male,0,0,40,United-States,<=50K,0.0,0.0,False,0,0,0,True,1,True
33,Private,106938,9,5,1,Female,0,0,38,United-States,<=50K,0.0,0.0,True,0,1,1,False,1,True
39,Private,430336,9,0,1,Male,7688,0,45,United-States,>50K,8.94754601503218,0.0,True,0,1,1,True,1,False
56,Local-gov,242670,10,4,1,Female,0,0,40,United-States,<=50K,0.0,0.0,False,0,0,1,False,1,True
32,Private,193285,13,0,1,Male,0,0,45,United-States,>50K,0.0,0.0,True,1,1,1,True,1,False
49,Private,160167,11,0,1,Male,0,0,40,United-States,<=50K,0.0,0.0,True,0,1,1,True,1,True
24,Private,241582,10,1,1,Male,0,0,33,United-States,<=50K,0.0,0.0,True,0,0,1,True,1,True
49,Local-gov,52590,9,1,1,Male,0,0,40,United-States,<=50K,0.0,0.0,False,0,0,0,True,1,True
60,State-gov,190682,11,1,1,Female,0,0,37,United-States,<=50K,0.0,0.0,False,0,0,0,False,1,True
20,Private,313873,9,3,1,Male,0,0,30,United-States,<=50K,0.0,0.0,True,0,0,0,True,1,True
45,Private,167523,9,0,1,Male,0,2179,45,United-States,<=50K,0.0,7.687080155783135,True,0,1,0,True,1,True
35,Private,191628,10,0,1,Male,0,0,40,United-States,<=50K,0.0,0.0,True,0,1,1,True,1,True
27,Private,192384,15,0,1,Male,0,0,40,United-States,<=50K,0.0,0.0,True,0,1,1,True,1,True
31,Self-emp-inc,264554,9,0,1,Male,0,1977,40,United-States,>50K,0.0,7.589841512182657,False,0,1,0,True,1,False
46,State-gov,265554,9,1,1,Male,0,0,40,United-States,<=50K,0.0,0.0,False,0,0,0,True,1,True
28,Private,136985,9,0,1,Male,0,0,35,United-States,<=50K,0.0,0.0,True,0,1,0,True,1,True
69,?,156387,9,0,1,Male,0,0,40,United-States,<=50K,0.0,0.0,False,0,1,0,True,1,True
19,?,165416,10,3,1,Female,0,0,40,United-States,<=50K,0.0,0.0,False,0,0,0,False,1,True
40,Local-gov,104196,8,0,1,Male,0,0,40,United-States,<=50K,0.0,0.0,False,0,1,1,True,1,True
49,Self-emp-not-inc,148254,9,1,1,Female,0,0,28,United-States,<=50K,0.0,0.0,False,0,0,0,False,1,True
55,Private,98361,13,0,1,Male,15024,0,55,United-States,>50K,9.617470759403409,0.0,True,1,1,1,True,1,False
56,Private,169560,9,3,1,Male,0,0,40,United-States,<=50K,0.0,0.0,True,0,0,1,True,1,True
21,Private,448026,10,3,1,Male,2907,0,30,United-States,<=50K,7.97522083865341,0.0,True,0,0,0,True,1,True
24,Private,136687,9,4,0,Female,0,0,40,United-States,<=50K,0.0,0.0,True,0,0,0,False,1,True
24,Private,188569,14,3,1,Female,4787,0,60,United-States,>50K,8.473868066677865,0.0,True,1,0,1,False,1,False
40,Private,124747,9,5,1,Female,7298,0,40,United-States,>50K,8.895492631451633,0.0,True,0,1,0,False,1,False
30,State-gov,190385,10,1,1,Female,0,0,37,United-States,<=50K,0.0,0.0,False,0,0,1,False,1,True
55,Private,269763,10,4,1,Female,0,0,10,United-States,<=50K,0.0,0.0,True,0,0,0,False,1,True
39,Private,297847,5,5,1,Female,3411,0,34,United-States,<=50K,8.13505390861157,0.0,True,0,1,0,False,1,True
28,Private,180299,9,0,1,Male,0,0,70,United-States,<=50K,0.0,0.0,True,0,1,0,True,1,True
36,Private,31438,7,0,1,Male,0,0,43,United-States,<=50K,0.0,0.0,True,0,1,0,True,1,True
21,Private,178255,10,1,1,Female,0,0,30,Columbia,<=50K,0.0,0.0,True,0,0,1,False,0,True
28,Private,480861,9,0,1,Male,0,0,45,United-States,<=50K,0.0,0.0,True,0,1,0,True,1,True
73,Self-emp-not-inc,30958,10,0,1,Male,0,0,25,United-States,<=50K,0.0,0.0,False,0,1,1,True,1,True
47,Private,187308,9,0,1,Male,0,0,55,United-States,>50K,0.0,0.0,True,0,1,1,True,1,False
22,Private,238917,7,4,1,Male,0,0,40,El-Salvador,<=50K,0.0,0.0,True,0,0,0,True,0,True
45,Federal-gov,98320,10,4,0,Female,914,0,40,United-States,<=50K,6.818924065275521,0.0,False,0,0,1,False,1,True
61,Private,90051,4,5,1,Female,3456,0,44,Canada,<=50K,8.148156439921625,0.0,True,0,1,0,False,0,True
23,Private,162282,12,1,1,Male,0,0,25,United-States,<=50K,0.0,0.0,True,0,0,0,True,1,True
35,Private,111635,9,0,1,Male,0,0,40,United-States,<=50K,0.0,0.0,True,0,1,0,True,1,True
34,Private,187203,12,4,1,Male,0,0,50,United-States,<=50K,0.0,0.0,True,0,0,1,True,1,True
37,Private,49687,13,1,1,Male,0,1980,40,United-States,<=50K,0.0,7.591357046698551,True,1,0,0,True,1,True
62,Self-emp-inc,153891,11,0,1,Male,3137,0,40,United-States,<=50K,8.051340933292979,0.0,False,0,1,1,True,1,True
26,Local-gov,177482,12,0,1,Male,0,0,45,United-States,>50K,0.0,0.0,False,0,1,0,True,1,False
53,Private,177647,13,4,1,Male,0,0,40,United-States,<=50K,0.0,0.0,True,1,0,1,True,1,True
28,Private,191088,9,1,1,Female,0,1741,52,United-States,<=50K,0.0,7.462789157412448,True,0,0,0,False,1,True
51,Private,48343,14,0,1,Male,7298,0,50,United-States,>50K,8.895492631451633,0.0,True,1,1,1,True,1,False
43,Private,300099,10,1,1,Female,0,0,40,United-States,<=50K,0.0,0.0,True,0,0,0,False,1,True
50,State-gov,356619,9,0,1,Male,0,0,48,United-States,>50K,0.0,0.0,False,0,1,1,True,1,False
36,Private,372525,10,0,1,Male,0,0,48,United-States,<=50K,0.0,0.0,True,0,1,1,True,1,True
27,Private,189589,10,1,1,Female,0,0,40,United-States,<=50K,0.0,0.0,True,0,0,1,False,1,True
65,Private,64667,10,1,0,Female,0,0,15,United-States,<=50K,0.0,0.0,True,0,0,0,False,1,True
26,Private,49092,9,0,1,Male,0,0,30,United-States,<=50K,0.0,0.0,True,0,1,1,True,1,True
26,Private,90915,12,3,1,Female,0,0,15,United-States,<=50K,0.0,0.0,True,0,0,0,False,1,True
28,Local-gov,299249,9,1,1,Female,0,0,40,United-States,<=50K,0.0,0.0,False,0,0,0,False,1,True
27,Private,206903,13,4,1,Male,0,0,35,United-States,<=50K,0.0,0.0,True,1,0,0,True,1,True
40,Local-gov,108765,9,5,0,Female,0,0,40,United-States,<=50K,0.0,0.0,False,0,1,1,False,1,True
57,Private,161097,9,1,1,Female,0,0,26,United-States,<=50K,0.0,0.0,True,0,0,1,False,1,True
37,Private,255621,9,1,1,Male,0,0,50,United-States,<=50K,0.0,0.0,True,0,0,0,True,1,True
39,Private,104089,11,0,1,Male,0,0,50,United-States,>50K,0.0,0.0,True,0,1,0,True,1,False
36,Self-emp-not-inc,295127,9,0,1,Male,0,0,84,United-States,<=50K,0.0,0.0,False,0,1,0,True,1,True
51,Self-emp-not-inc,291755,4,0,1,Male,0,0,42,United-States,<=50K,0.0,0.0,False,0,1,1,True,1,True
45,Private,215620,9,1,1,Male,0,0,40,United-States,<=50K,0.0,0.0,True,0,0,0,True,1,True
37,Private,34146,9,0,1,Male,0,0,68,United-States,<=50K,0.0,0.0,True,0,1,0,True,1,True
35,Private,239409,6,0,1,Male,0,0,50,United-States,<=50K,0.0,0.0,True,0,1,0,True,1,True
44,Private,162028,10,5,1,Female,0,2415,6,United-States,>50K,0.0,7.789868559054706,True,0,1,1,False,1,False
21,Private,30619,10,1,1,Female,0,0,38,United-States,<=50K,0.0,0.0,True,0,0,1,False,1,True
42,Private,77373,10,0,1,Male,0,0,38,United-States,<=50K,0.0,0.0,True,0,1,0,True,1,True
67,Private,172756,2,1,1,Female,2062,0,34,Ecuador,<=50K,7.631916513071252,0.0,True,0,0,0,False,0,True
26,Private,43311,9,4,1,Female,0,0,40,United-States,<=50K,0.0,0.0,True,0,0,1,False,1,True
87,?,97295,9,1,1,Female,0,0,3,United-States,<=50K,0.0,0.0,False,0,0,0,False,1,True
38,Private,219137,9,5,1,Female,0,0,22,United-States,<=50K,0.0,0.0,True,0,1,1,False,1,True
34,Self-emp-not-inc,289731,7,0,1,Male,0,0,40,United-States,<=50K,0.0,0.0,False,0,1,0,True,1,True
38,Federal-gov,178678,6,4,1,Female,0,1380,50,United-States,<=50K,0.0,7.2305631534092925,False,0,0,1,False,1,True
63,Self-emp-inc,110610,6,0,1,Male,0,0,50,United-States,<=50K,0.0,0.0,False,0,1,0,True,1,True
29,Private,82393,9,3,0,Male,0,0,40,Germany,<=50K,0.0,0.0,True,0,0,0,True,0,True
67,Private,220283,9,1,1,Female,0,0,20,United-States,<=50K,0.0,0.0,True,0,0,1,False,1,True
49,State-gov,36177,13,0,1,Male,0,0,45,United-States,>50K,0.0,0.0,False,1,1,1,True,1,False
18,Private,334676,9,3,1,Male,0,0,25,United-States,<=50K,0.0,0.0,True,0,0,0,True,1,True
42,Private,173590,10,0,1,Male,0,1628,40,United-States,<=50K,0.0,7.395721608602045,True,0,1,1,True,1,True
21,Private,107895,10,1,1,Male,0,0,35,United-States,<=50K,0.0,0.0,True,0,0,1,True,1,True
49,Self-emp-not-inc,102110,9,0,1,Male,0,0,30,United-States,>50K,0.0,0.0,False,0,1,1,True,1,False
41,Private,327606,8,1,1,Male,0,0,40,United-States,<=50K,0.0,0.0,True,0,0,0,True,1,True
29,Private,136017,6,1,1,Male,0,0,48,United-States,<=50K,0.0,0.0,True,0,0,0,True,1,True
19,Private,150553,10,3,0,Female,0,0,18,Philippines,<=50K,0.0,0.0,True,0,0,1,False,0,True
24,Private,118792,10,3,1,Female,0,0,12,United-States,<=50K,0.0,0.0,True,0,0,1,False,1,True
31,Federal-gov,101345,9,3,1,Female,0,0,40,United-States,<=50K,0.0,0.0,False,0,0,0,False,1,True
31,Private,111883,9,2,1,Male,0,0,40,United-States,<=50K,0.0,0.0,True,0,0,0,True,1,True
27,Private,197905,10,0,1,Male,0,0,40,United-States,<=50K,0.0,0.0,True,0,1,0,True,1,True
23,Private,166527,10,3,0,Female,0,0,40,United-States,<=50K,0.0,0.0,True,0,0,1,False,1,True
38,Private,170174,6,0,1,Male,0,0,40,United-States,>50K,0.0,0.0,True,0,1,0,True,1,False
